,track_name,available_markets,duration_ms,explicit,artists_names,principal_artist_name,principal_artist_followers,acousticness,danceability,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,sound_system
4848,It Ain't Easy,"Europe, Africa, Asia, America, Oceania",293933,True,2Pac,2Pac,16058064,0.472,0.786,0.777,8,0.0849,-8.918,B,0.122,90.662,4,0.652,58,1995,G Major
4849,It Ain't Hard to Tell,"Europe, Africa, Asia, America, Oceania",202106,True,Nas,Nas,3395815,1.7e-05,0.69,0.729,11,0.152,-5.819,A,0.221,91.376,4,0.357,70,1994,D-Flat Minor
4850,It Ain't Like That,"Europe, Africa, Asia, America, Oceania",277693,False,Alice In Chains,Alice In Chains,4693028,0.00905,0.445,0.842,8,0.295,-7.9,A,0.0417,102.859,4,0.676,56,1990,E Minor
4851,It Ain't My Fault,"Europe, Africa, Asia, America, Oceania",216800,False,Brothers Osborne,Brothers Osborne,1195725,0.00166,0.735,0.831,9,0.291,-5.898,B,0.0332,123.017,4,0.756,67,2016,D Major
4852,It Ain't Over 'Til It's Over,"Europe, Africa, Asia, America, Oceania",242640,False,Lenny Kravitz,Lenny Kravitz,3006015,0.422,0.679,0.568,6,0.322,-10.74,B,0.0423,159.69,4,0.93,76,1991,F Major
4853,It Ain’t Me (with Selena Gomez),America,220780,False,Kygo;Selena Gomez,Kygo,8432550,0.119,0.64,0.533,0,0.0864,-6.596,B,0.0706,99.968,4,0.515,70,2017,B Major
4854,It Almost Worked,"Europe, Africa, Asia, America, Oceania",152000,False,TV Girl,TV Girl,3186395,0.302,0.673,0.886,9,0.0792,-4.347,B,0.0282,140.586,4,0.679,73,2020,D Major
4855,It Don't Hurt Like It Used To,"Europe, Africa, Asia, America, Oceania",184506,False,Billy Currington,Billy Currington,2601654,0.071,0.558,0.818,8,0.21,-4.07,B,0.0403,81.034,4,0.453,67,2015,G Major
4856,It Ends Tonight,America,244826,False,The All-American Rejects,The All-American Rejects,2548802,0.00228,0.454,0.636,0,0.154,-4.731,B,0.0273,87.89,4,0.313,62,2005,B Major
4857,It Feels So Good,"Europe, Africa, Asia, America, Oceania",240866,False,Sonique,Sonique,57134,0.0117,0.634,0.677,5,0.126,-7.278,A,0.0304,135.012,4,0.558,67,2000,G Minor
4858,It Girl,"Europe, Africa, Asia, America, Oceania",192200,False,Jason Derulo,Jason Derulo,11915236,0.0165,0.668,0.718,1,0.104,-4.736,A,0.0605,91.993,4,0.345,72,2011,E-Flat Minor
4859,It Goes Like This,America,186080,False,Thomas Rhett,Thomas Rhett,4625826,0.117,0.543,0.837,11,0.0872,-6.448,B,0.0608,168.056,4,0.506,67,2013,E Major
4860,It Had to Be You (Big Band and Vocals),"Europe, Africa, Asia, America, Oceania",158226,False,"Harry Connick, Jr.","Harry Connick, Jr.",509308,0.683,0.543,0.284,5,0.101,-13.205,B,0.051,125.558,4,0.409,58,1989,B-Flat Major
4861,It Just Comes Natural,"Europe, Africa, Asia, America, Oceania",176426,False,George Strait,George Strait,4011969,0.358,0.405,0.775,10,0.211,-2.907,B,0.0335,200.389,4,0.422,63,2006,A Major
4862,It Matters to Me,"Europe, Africa, Asia, America, Oceania",197666,False,Faith Hill,Faith Hill,1771511,0.567,0.613,0.355,6,0.0909,-8.218,B,0.0247,135.622,4,0.129,58,1995,F Major
4863,It Must Be Love - Single Version,"Europe, Africa, Asia, America, Oceania",146733,False,Don Williams,Don Williams,713181,0.129,0.92,0.399,5,0.0721,-17.627,B,0.0608,110.824,4,0.966,48,1987,B-Flat Major
4864,"It Must Have Been Love - From the Film ""Pretty Woman""","Europe, Africa, Asia, America, Oceania",258786,False,Roxette,Roxette,2060189,0.34,0.52,0.652,5,0.256,-6.655,B,0.0274,80.609,4,0.722,79,1990,B-Flat Major
